"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 04 19:37:37 GMT 2021","Tue May 04 19:37:37 GMT 2021","18","","[INTEGRATION] :: Realizar Login","","","","/POST - Realizar login sem preencher a senha",""
"passed","Tue May 04 19:38:06 GMT 2021","Tue May 04 19:38:06 GMT 2021","24","","[INTEGRATION] :: Editar Usuários","","","","/PUT - Editar com um email inválido",""
"passed","Tue May 04 19:37:47 GMT 2021","Tue May 04 19:37:47 GMT 2021","26","","[INTEGRATION] :: Cadastrar Produtos com Token de autorização","","","","/POST - Cadastrar um produto com o campo Nome não sendo uma string",""
"passed","Tue May 04 19:37:43 GMT 2021","Tue May 04 19:37:43 GMT 2021","18","","[INTEGRATION] :: Listar Produtos","","","","/GET - Listar produtos cadastrados pelo _id",""
"passed","Tue May 04 19:37:28 GMT 2021","Tue May 04 19:37:28 GMT 2021","19","","[INTEGRATION] :: Listar Carrinhos","","","","/GET - Listar carrinhos cadastrados pelo _id",""
"passed","Tue May 04 19:38:06 GMT 2021","Tue May 04 19:38:06 GMT 2021","47","","[INTEGRATION] :: Editar Usuários","","","","/PUT - Editar sem alterar o email",""
"passed","Tue May 04 19:37:43 GMT 2021","Tue May 04 19:37:43 GMT 2021","16","","[INTEGRATION] :: Listar Produtos","","","","/GET - Listar produtos pelo _id na URL válido",""
"passed","Tue May 04 19:37:47 GMT 2021","Tue May 04 19:37:47 GMT 2021","26","","[INTEGRATION] :: Cadastrar Produtos com Token de autorização","","","","/POST - Cadastrar um produto sem preencher o campo Descrição",""
"passed","Tue May 04 19:37:56 GMT 2021","Tue May 04 19:37:56 GMT 2021","24","","[INTEGRATION] :: Deletar Usuários","","","","/DELETE - Deletar um usuário que contenha um carrinho",""
"passed","Tue May 04 19:37:37 GMT 2021","Tue May 04 19:37:37 GMT 2021","23","","[INTEGRATION] :: Realizar Login","","","","/POST - Realizar login com tipo de email inválido",""
"passed","Tue May 04 19:38:06 GMT 2021","Tue May 04 19:38:06 GMT 2021","32","","[INTEGRATION] :: Editar Usuários","","","","/PUT - Editar password de um usuário válido",""
"passed","Tue May 04 19:37:28 GMT 2021","Tue May 04 19:37:28 GMT 2021","17","","[INTEGRATION] :: Listar Carrinhos","","","","/GET - Listar carrinhos cadastrados pela quantidade total",""
"passed","Tue May 04 19:37:57 GMT 2021","Tue May 04 19:37:57 GMT 2021","34","","[INTEGRATION] :: Listar Usuários","","","","/GET - Listar usuários com uma busca incorreta de: nome e email sem parâmetro",""
"passed","Tue May 04 19:37:28 GMT 2021","Tue May 04 19:37:28 GMT 2021","15","","[INTEGRATION] :: Listar Carrinhos","","","","/GET - Listar carrinhos cadastrados pelo id do usuário",""
"passed","Tue May 04 19:37:52 GMT 2021","Tue May 04 19:37:52 GMT 2021","28","","[INTEGRATION] :: Editar Produtos com Token de autorização","","","","/PUT - Editar um produto já existente",""
"passed","Tue May 04 19:38:02 GMT 2021","Tue May 04 19:38:02 GMT 2021","24","","[INTEGRATION] :: Cadastrar Usuários","","","","/POST - Cadastrar um usuário sem nome",""
"passed","Tue May 04 19:38:06 GMT 2021","Tue May 04 19:38:06 GMT 2021","32","","[INTEGRATION] :: Editar Usuários","","","","/PUT - Editar sem preencher o nome",""
"passed","Tue May 04 19:37:52 GMT 2021","Tue May 04 19:37:52 GMT 2021","54","","[INTEGRATION] :: Editar Produtos sem Token de autorização","","","","/PUT - Editar um produto válido",""
"passed","Tue May 04 19:37:33 GMT 2021","Tue May 04 19:37:33 GMT 2021","38","","[INTEGRATION] :: Cadastrar Carrinhos com Token de autorização","","","","/POST - Cadastrar um carrinho cujo o _id do produto não existe",""
"passed","Tue May 04 19:38:06 GMT 2021","Tue May 04 19:38:06 GMT 2021","21","","[INTEGRATION] :: Editar Usuários","","","","/PUT - Editar sem preencher o password",""
"passed","Tue May 04 19:37:28 GMT 2021","Tue May 04 19:37:28 GMT 2021","20","","[INTEGRATION] :: Listar Carrinhos","","","","/GET - Listar carrinhos cadastrados pela quantidade total inválido",""
"passed","Tue May 04 19:37:23 GMT 2021","Tue May 04 19:37:24 GMT 2021","72","","[INTEGRATION] :: Deletar Carrinhos quando ""Concluir uma Compra"" Token de autorização","","","","/DELETE - Deletar um carrinho quando ""concluir uma compra"" válido com utilização de token",""
"passed","Tue May 04 19:37:52 GMT 2021","Tue May 04 19:37:52 GMT 2021","35","","[INTEGRATION] :: Editar Produtos com Token de autorização","","","","/PUT - Editar um produto não existente",""
"passed","Tue May 04 19:37:57 GMT 2021","Tue May 04 19:37:57 GMT 2021","30","","[INTEGRATION] :: Listar Usuários","","","","/GET - Listar usuários cadastrados pelo _id",""
"passed","Tue May 04 19:37:28 GMT 2021","Tue May 04 19:37:28 GMT 2021","16","","[INTEGRATION] :: Listar Carrinhos","","","","/GET - Listar carrinhos cadastrados pelo preço total",""
"passed","Tue May 04 19:37:43 GMT 2021","Tue May 04 19:37:43 GMT 2021","17","","[INTEGRATION] :: Listar Produtos","","","","/GET - Listar produtos cadastrados pela descrição",""
"passed","Tue May 04 19:37:57 GMT 2021","Tue May 04 19:37:57 GMT 2021","28","","[INTEGRATION] :: Listar Usuários","","","","/GET - Listar usuários cadastrados pelo nome",""
"passed","Tue May 04 19:37:56 GMT 2021","Tue May 04 19:37:56 GMT 2021","17","","[INTEGRATION] :: Deletar Usuários","","","","/DELETE - Deletar um usuário válido",""
"passed","Tue May 04 19:37:28 GMT 2021","Tue May 04 19:37:28 GMT 2021","16","","[INTEGRATION] :: Listar Carrinhos","","","","/GET - Listar carrinhos com uma busca incorreta de: id do usuário válido e quantidade total inválida",""
"passed","Tue May 04 19:37:28 GMT 2021","Tue May 04 19:37:28 GMT 2021","18","","[INTEGRATION] :: Listar Carrinhos","","","","/GET - Listar carrinhos cadastrados pelo preço total inválido",""
"passed","Tue May 04 19:37:43 GMT 2021","Tue May 04 19:37:43 GMT 2021","14","","[INTEGRATION] :: Listar Produtos","","","","/GET - Listar produtos que não estão cadastrados pelo _id",""
"passed","Tue May 04 19:37:47 GMT 2021","Tue May 04 19:37:47 GMT 2021","25","","[INTEGRATION] :: Cadastrar Produtos com Token de autorização","","","","/POST - Cadastrar um produto sem preencher o campo Nome",""
"passed","Tue May 04 19:37:28 GMT 2021","Tue May 04 19:37:28 GMT 2021","15","","[INTEGRATION] :: Listar Carrinhos","","","","/GET - Listar carrinhos com uma busca correta de: id do usuário e preço total válido",""
"passed","Tue May 04 19:37:57 GMT 2021","Tue May 04 19:37:57 GMT 2021","30","","[INTEGRATION] :: Listar Usuários","","","","/GET - Listar usuários cadastrados pelo email",""
